Mes,Media_Publico,Mediana_Publico,Moda_Publico,Max_Publico,Min_Publico,Total_Publico,Desvio_Padrao,Q1,Q3,IQR
2023-12,48.31,23.0,2.0,1439.0,1.0,5602012,67.85593382388147,9.0,60.0,51.0
2024-01,50.71,28.0,4.0,1300.0,1.0,7048533,64.19869422200827,12.0,64.0,52.0
2024-02,49.69,24.0,2.0,1693.0,1.0,7314859,74.44089557388892,10.0,58.0,48.0
2024-03,41.41,20.0,2.0,1109.0,1.0,5789381,60.06148270036023,8.0,49.0,41.0
2024-04,36.87,18.0,2.0,2631.0,1.0,5117472,57.7617307487651,7.0,42.0,35.0
2024-05,45.85,23.0,2.0,1888.0,1.0,6783724,63.38130537581847,9.0,55.0,46.0
2024-06,114.01,33.0,2.0,2775.0,1.0,16631250,191.81511683624754,11.0,122.0,111.0
2024-07,139.72,78.0,4.0,2053.0,1.0,22888529,167.27300685108744,25.0,193.0,168.0
2024-08,57.33,27.0,2.0,2686.0,1.0,9690777,80.05859371257446,10.0,71.0,61.0
2024-09,33.89,17.0,2.0,851.0,1.0,5188404,47.993463014012704,7.0,40.0,33.0
2024-10,54.14,27.0,2.0,1664.0,1.0,8347743,75.2563330102481,10.0,68.0,58.0
2024-11,59.0,27.0,2.0,1471.0,1.0,8034834,88.84061444087375,10.0,69.0,59.0
2024-12,93.93,50.0,2.0,16000.0,1.0,11965766,126.31367977318772,17.0,126.0,109.0
2025-01,63.42,33.0,4.0,1102.0,1.0,8711883,81.72459163265724,13.0,81.0,68.0
2025-02,48.94,21.0,2.0,10000.0,1.0,6587038,83.51366770916472,8.0,55.0,47.0
2025-03,36.94,18.0,2.0,1738.0,1.0,4978290,57.01680693820485,7.0,43.0,36.0
2025-04,53.86,23.0,2.0,1360.0,1.0,7964037,84.60043476473966,9.0,61.0,52.0
2025-05,75.85,34.0,2.0,5100.0,1.0,11720628,116.12880134407823,12.0,88.0,76.0
2025-06,73.14,37.0,2.0,14500.0,1.0,11371412,106.89183900418541,13.0,91.0,78.0
2025-07,,,,,,0,,,,
